# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = noname_4.data.R
# init = 2 (Default)
# random
#   seed = 215976437
# output
#   file = noname_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.986797
# Diagonal elements of inverse mass matrix:
# 0.448049
-7.67064,0.196462,0.986797,1,3,0,13.293,0.299299
-7.69007,0.932942,0.986797,2,3,0,8.06645,0.378047
-9.19178,0.845234,0.986797,1,3,0,9.20442,0.133944
-7.65803,1,0.986797,1,3,0,8.28576,0.306602
-8.97622,0.952805,0.986797,1,3,0,12.857,0.14506
-8.68544,0.958503,0.986797,1,3,0,10.103,0.162602
-7.8559,0.874177,0.986797,2,3,0,10.1863,0.426358
-8.33439,0.997261,0.986797,2,3,0,8.4769,0.189492
-7.8868,1,0.986797,1,1,0,8.12581,0.242849
-8.44989,0.813088,0.986797,1,3,0,8.80358,0.515765
-7.649,1,0.986797,1,3,0,7.76468,0.313518
-8.34943,0.849172,0.986797,1,1,0,8.36708,0.503912
-8.4843,1,0.986797,1,1,0,8.76426,0.519647
-7.70999,0.859821,0.986797,2,3,0,8.56659,0.283228
-7.71904,0.977288,0.986797,1,3,0,7.77426,0.280271
-8.1226,0.980122,0.986797,2,3,0,8.13675,0.210649
-8.22597,0.929174,0.986797,1,1,0,8.30878,0.488104
-7.8235,0.955174,0.986797,2,3,0,8.02803,0.254484
-8.93856,1,0.986797,1,1,0,9.47621,0.564608
-10.1445,0.254367,0.986797,1,3,0,14.157,0.0971216
-8.75457,0.813057,0.986797,1,3,0,10.2455,0.158119
-7.64031,1,0.986797,2,3,0,7.64481,0.342284
-7.64302,0.9868,0.986797,2,3,0,7.70581,0.346826
-7.64063,0.987506,0.986797,2,3,0,7.70159,0.342921
-7.64068,0.959251,0.986797,2,3,0,7.85878,0.323746
-8.19035,0.911959,0.986797,1,3,0,9.51169,0.483235
-7.64038,0.987644,0.986797,2,3,0,7.80273,0.342431
-7.63915,1,0.986797,1,1,0,7.64014,0.339384
-8.22517,1,0.986797,1,1,0,8.66454,0.199773
-7.6757,1,0.986797,2,3,0,8.85143,0.371255
-7.6536,0.962078,0.986797,1,3,0,7.76699,0.357509
-7.6536,0.674899,0.986797,1,3,0,8.76403,0.357509
-7.86887,0.939602,0.986797,1,3,0,7.93883,0.429159
-7.83992,0.965627,0.986797,1,1,0,7.84203,0.25127
-7.84518,0.944983,0.986797,2,3,0,8.28978,0.423981
-10.6025,0.818664,0.986797,1,1,0,10.6137,0.0841839
-9.44131,0.9046,0.986797,1,1,0,9.53161,0.122615
-7.71301,0.976772,0.986797,2,3,0,8.41161,0.28222
-8.09853,0.929702,0.986797,1,3,0,9.23139,0.46991
-8.5005,0.87687,0.986797,1,1,0,8.5943,0.521447
-7.87168,0.907538,0.986797,2,3,0,8.18552,0.245457
-8.43885,1,0.986797,1,1,0,9.36903,0.18064
-9.73057,0.793466,0.986797,2,3,0,10.1332,0.625263
-7.7491,0.97333,0.986797,1,3,0,7.7604,0.271557
-8.64811,0.762244,0.986797,1,3,0,8.80986,0.537087
-9.00829,0.890042,0.986797,1,1,0,9.27819,0.570694
-7.81506,0.935036,0.986797,1,3,0,8.71084,0.416962
-8.047,0.928112,0.986797,1,1,0,8.0742,0.461849
-7.64379,0.977873,0.986797,2,3,0,7.75148,0.347866
-7.66107,0.994847,0.986797,1,1,0,7.66123,0.362852
-8.03545,0.833823,0.986797,2,3,0,8.62326,0.221112
-8.37758,0.882933,0.986797,1,1,0,8.44306,0.507316
-7.63971,0.964691,0.986797,2,3,0,7.87869,0.325821
-7.69033,0.986004,0.986797,2,3,0,7.73792,0.290435
-7.81208,0.957224,0.986797,1,3,0,7.82298,0.416235
-8.33413,0.882846,0.986797,1,1,0,8.38684,0.502033
-8.24217,0.856653,0.986797,1,3,0,8.27656,0.490267
-7.67143,1,0.986797,1,3,0,7.87531,0.298897
-7.71002,1,0.986797,1,1,0,7.84603,0.283218
-7.73642,0.983034,0.986797,1,1,0,7.74236,0.395233
-7.77907,0.92652,0.986797,2,3,0,8.02991,0.407765
-8.64563,0.906201,0.986797,2,3,0,8.66178,0.536834
-8.0782,0.889993,0.986797,1,3,0,8.12771,0.466787
-8.74794,0.861188,0.986797,1,1,0,8.89387,0.546981
-7.75091,1,0.986797,2,3,0,8.14084,0.399743
-8.46083,0.923532,0.986797,1,1,0,8.49485,0.178882
-9.9864,0.707762,0.986797,1,3,0,10.1272,0.102179
-7.66875,1,0.986797,1,1,0,7.68949,0.300285
-7.63912,0.99922,0.986797,1,3,0,7.65686,0.33928
-8.82865,0.879884,0.986797,1,1,0,8.84534,0.153544
-7.71713,1,0.986797,1,3,0,8.17048,0.280878
-7.79784,0.968831,0.986797,1,1,0,7.79808,0.259847
-7.70666,0.96954,0.986797,2,3,0,7.81349,0.284368
-8.73376,0.860277,0.986797,1,1,0,8.73521,0.159446
-7.81863,0.724454,0.986797,1,3,0,9.19281,0.255467
-7.67016,1,0.986797,1,3,0,7.80895,0.299549
-9.69812,0.683472,0.986797,1,1,0,9.83548,0.623081
-10.3212,0.698375,0.986797,1,1,0,10.6359,0.661636
-7.94603,1,0.986797,1,1,0,8.47344,0.444448
-8.04074,0.88325,0.986797,1,3,0,10.2357,0.220437
-7.88591,0.986972,0.986797,1,1,0,7.92476,0.243001
-7.89144,0.929508,0.986797,1,3,0,8.11717,0.242067
-8.45056,0.883527,0.986797,1,3,0,8.46198,0.179699
-8.71792,0.763683,0.986797,1,3,0,9.20693,0.544059
-9.15478,0.997489,0.986797,1,1,0,9.64009,0.582931
-11.148,0.83524,0.986797,2,3,0,11.368,0.704229
-9.88503,0.802053,0.986797,1,1,0,9.8858,0.105606
-9.34603,0.643145,0.986797,1,3,0,9.43134,0.59792
-8.12674,1,0.986797,1,1,0,8.41333,0.474136
-7.75156,0.942612,0.986797,2,3,0,8.11769,0.399938
-7.6714,1,0.986797,1,1,0,7.71834,0.368986
-8.29949,0.85611,0.986797,2,3,0,8.62953,0.497699
-7.89927,1,0.986797,1,1,0,8.20651,0.435442
-7.67179,0.991451,0.986797,1,3,0,7.69549,0.369197
-8.01959,0.975441,0.986797,2,3,0,8.03067,0.457357
-7.68676,0.99911,0.986797,2,3,0,8.48414,0.291891
-7.64241,0.984535,0.986797,2,3,0,7.73674,0.320884
-7.65826,1,0.986797,2,3,0,7.68681,0.36096
-7.81824,0.976942,0.986797,1,1,0,7.8276,0.255547
-7.66557,0.995837,0.986797,1,1,0,7.66694,0.302019
